Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,3020.7,4759.860000000001,4651.2,1956.4799999999998,4608.120000000001,3726.54,4255.5,3859.7999999999997,5120.639999999999,3296.34,2987.1,1241.4,3398.4,2280.7799999999997,886.1999999999999,1497.9,2105.7,2137.86,2256.6,805.2,2098.2,1722.9,1967.3999999999999,2096.1000000000004,2364.3,2430.9,2689.7999999999997,2100.36,2514.1620000000003,3110.514
Bolivia (Plurinational State of),7366.62,6212.16,7214.1,3049.38,7016.64,8549.1,7474.74,8443.14,8279.1,9462.119999999999,8856.240000000002,5640.96,7600.08,6199.379999999999,9288.426,6598.152,8785.782,6961.752,7225.116,7708.505999999999,7033.494000000001,7910.124,6316.872,7194.732,5992.596,5053.146,4679.01,5028.672,4954.122,4875.924
Brazil,1637137.716,1637609.604,2076201.252,1690018.716,1691522.8199999998,1083612.132,1751804.5799999998,1568880.24,2205651.1980000003,2854668.39,1878621.18,1881905.73,2901098.04,1732404.558,2356868.742,1975978.7820000001,2905904.028,2334687.426,3089431.062,2638608.7199999997,3325704.6119999997,2915509.734,3325080.0719999997,3281337.9839999997,3198286.014,3172235.256,3407290.704,3164389.074,3907847.9820000003,3492642.7619999996
Burundi,29243.579999999998,40031.939999999995,37214.280000000006,23601.239999999998,39848.58,26038.800000000003,24058.14,14987.1,29519.52,21033.0,29247.6,8638.92,27223.920000000002,20271.48,26222.16,6198.9,29910.0,7971.36,24706.932,6696.78,21178.656,12247.968,24357.69,9793.062,14853.0,16167.456,11784.768,12126.474,12260.346,16348.127999999999
Ecuador,90228.90000000001,127429.44,71128.8,124140.42,142545.96,113293.98,119574.84,71439.78,72358.08,71860.992,51229.020000000004,47570.82,34933.44,38447.399999999994,46826.1,56118.042,62071.194,57024.168,46238.837999999996,48797.094,51238.788,49524.864,49686.144,39932.7,38640.672,38669.556000000004,38693.07,37414.464,29760.005999999998,33536.112
Indonesia,446482.98,509591.76,334168.68,404597.27999999997,322072.68,274405.74,493235.04000000004,457246.68,437757.3,393423.972,419234.382,410001.36,403882.56,384244.56,452182.26,549537.564,448960.422,466593.342,576740.7960000001,682780.194,547710.708,413335.39800000004,784202.316,774056.958,656776.638,755128.5059999999,692461.5959999999,651138.9180000001,577055.652,685976.5499999999
Madagascar,58946.82,55950.78,67301.04,26511.539999999997,38482.32,47100.54,50940.48,37428.24,59507.94,25639.02,21729.708000000002,8834.16,26727.3,26079.48,31299.6,35948.94,35190.6,36849.966,43661.304000000004,27417.678,31783.398,35091.168,29982.564000000002,35068.548,30087.264000000003,24853.920000000002,27165.396,24251.544,22762.608,22998.75
Malawi,6277.68,7457.16,8229.66,3726.66,5046.719999999999,5474.1,2919.0,3649.2,3859.2599999999998,3540.0,3788.2799999999997,3623.4,2547.84,2889.3,1236.8999999999999,1464.96,999.78,1128.72,1245.18,1015.32,1015.71,1549.584,1369.5720000000001,1667.664,1482.5880000000002,1272.09,1170.9599999999998,868.218,771.936,962.5859999999999
Papua New Guinea,57770.46,44808.96,54006.659999999996,61168.86,68319.54000000001,60141.780000000006,65360.88,64441.259999999995,81128.93999999999,83223.114,62444.352,63755.58,65108.81999999999,69296.64,59850.840000000004,76087.96800000001,48433.212,58062.678,61659.174,62279.652,51991.104,84831.26999999999,42989.280000000006,50121.564000000006,47853.852,42718.908,70268.694,44036.292,55822.14,45103.26
Paraguay,7837.620000000001,4779.18,3257.46,3991.65,1515.858,1575.2340000000002,1850.586,2960.466,1904.4060000000002,1138.362,1296.462,1329.81,2134.836,2849.706,2283.114,2624.022,2085.222,2317.812,1200.894,1200.996,1211.802,1201.17,1200.3899999999999,1201.914,1201.17,1200.0,1200.624,1200.078,1200.81,1200.2279999999998
