Variable:,tasmax
,Brazil,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,"Distrito Federal","Espirito Santo",Goias,Maranhao,"Mato Grosso","Mato Grosso Do Sul","Minas Gerais",Para,Paraiba,Parana,Pernambuco,Piaui,"Rio De Janeiro","Rio Grande Do Norte","Rio Grande Do Sul",Rondonia,Roraima,"Santa Catarina","Sao Paulo",Sergipe,Tocantins,"Name Unknown","Name Unknown","Name Unknown","Name Unknown"
1901,30.33,30.87,29.41,30.76,31.11,29.56,31.53,26.81,26.69,30.29,31.91,32.79,30.34,27.03,31.60,30.48,24.35,29.93,32.30,25.26,31.81,23.65,32.00,31.19,22.17,26.39,29.85,32.37,32.37,26.69,26.69,26.69
1902,30.46,30.87,29.56,30.92,31.10,29.71,31.74,26.97,27.61,30.40,32.03,32.53,30.50,27.76,31.61,30.67,25.01,30.12,32.46,26.25,32.01,24.02,31.90,31.09,22.88,27.20,29.99,32.33,32.33,26.69,26.69,26.69
1903,30.29,30.68,29.53,30.91,31.09,29.67,31.70,26.81,27.27,30.10,32.01,32.11,29.97,27.44,31.57,30.63,24.44,30.08,32.43,25.83,31.97,23.61,31.74,31.09,22.34,26.73,29.96,32.26,32.26,26.69,26.69,26.69
1904,30.08,30.58,29.06,30.53,31.06,29.43,31.09,26.70,27.03,29.89,31.65,31.66,29.75,27.28,31.43,30.05,24.37,29.52,31.94,25.67,31.38,23.55,31.57,30.82,22.29,26.58,29.55,32.16,32.16,26.69,26.69,26.69
1905,30.26,30.81,29.19,30.68,31.09,29.54,31.27,26.88,27.34,30.23,31.76,32.39,30.03,27.47,31.54,30.22,24.31,29.69,32.09,25.81,31.56,23.38,31.85,31.00,22.19,26.68,29.66,32.29,32.29,26.69,26.69,26.69
1906,30.25,30.71,29.12,30.39,31.08,29.50,31.17,26.84,27.32,30.16,31.70,32.20,30.31,27.47,31.45,30.13,24.76,29.60,32.01,25.83,31.46,23.89,31.76,30.98,22.59,26.81,29.60,32.25,32.25,26.69,26.69,26.69
1907,30.18,30.68,29.63,30.32,31.07,29.69,31.82,26.73,27.02,29.95,32.08,31.88,29.99,27.24,31.41,30.74,24.26,30.19,32.53,25.56,32.09,23.35,31.65,30.83,22.09,26.48,30.05,32.23,32.23,26.69,26.69,26.69
1908,30.28,30.67,29.99,30.50,31.08,29.86,32.27,26.75,27.15,30.00,32.34,32.01,30.03,27.30,31.47,31.18,24.20,30.61,32.89,25.61,32.54,23.44,31.69,30.94,22.03,26.49,30.37,32.27,32.27,26.69,26.69,26.69
1909,30.23,30.56,29.78,30.70,31.07,29.76,32.01,26.73,26.98,29.97,32.19,32.02,29.88,27.16,31.52,30.92,24.18,30.36,32.68,25.41,32.27,23.33,31.69,30.90,22.00,26.34,30.18,32.26,32.26,26.69,26.69,26.69
1910,30.20,30.40,29.31,30.55,31.11,29.55,31.41,26.74,26.82,30.08,31.85,32.29,30.14,27.07,31.50,30.36,24.18,29.83,32.20,25.29,31.70,23.43,31.78,31.02,21.98,26.33,29.76,32.28,32.28,26.69,26.69,26.69
