Variable:,tasmin
,Brazil,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,"Distrito Federal","Espirito Santo",Goias,Maranhao,"Mato Grosso","Mato Grosso Do Sul","Minas Gerais",Para,Paraiba,Parana,Pernambuco,Piaui,"Rio De Janeiro","Rio Grande Do Norte","Rio Grande Do Sul",Rondonia,Roraima,"Santa Catarina","Sao Paulo",Sergipe,Tocantins,"Name Unknown","Name Unknown","Name Unknown","Name Unknown"
1901,19.54,19.79,20.39,22.35,21.55,18.70,21.39,15.97,16.61,18.51,21.46,20.31,18.99,14.97,21.26,19.86,13.09,19.82,21.07,15.17,21.63,13.27,21.11,21.34,11.44,15.00,20.93,20.44,20.44,22.39,22.39,22.39
1902,19.67,19.79,20.55,22.51,21.54,18.84,21.59,16.14,17.53,18.62,21.58,20.05,19.15,15.69,21.27,20.05,13.75,20.01,21.24,16.16,21.83,13.64,21.01,21.25,12.16,15.81,21.07,20.40,20.40,22.39,22.39,22.39
1903,19.50,19.60,20.52,22.50,21.53,18.81,21.55,15.97,17.19,18.32,21.56,19.64,18.61,15.38,21.23,20.01,13.17,19.97,21.20,15.74,21.79,13.24,20.85,21.24,11.61,15.33,21.04,20.33,20.33,22.39,22.39,22.39
1904,19.29,19.51,20.04,22.12,21.51,18.57,20.94,15.87,16.95,18.12,21.20,19.19,18.40,15.21,21.09,19.43,13.10,19.41,20.71,15.58,21.20,13.17,20.69,20.98,11.56,15.19,20.62,20.23,20.23,22.39,22.39,22.39
1905,19.47,19.73,20.18,22.27,21.54,18.67,21.12,16.04,17.26,18.45,21.31,19.92,18.67,15.40,21.20,19.61,13.05,19.58,20.86,15.72,21.37,13.01,20.96,21.16,11.46,15.28,20.74,20.36,20.36,22.39,22.39,22.39
1906,19.46,19.63,20.10,21.98,21.53,18.64,21.03,16.01,17.24,18.38,21.25,19.72,18.95,15.40,21.11,19.51,13.50,19.48,20.78,15.74,21.27,13.51,20.87,21.13,11.86,15.41,20.68,20.32,20.32,22.39,22.39,22.39
1907,19.39,19.60,20.61,21.91,21.52,18.83,21.68,15.89,16.94,18.17,21.62,19.40,18.63,15.17,21.06,20.13,12.99,20.08,21.30,15.47,21.91,12.97,20.76,20.99,11.36,15.09,21.13,20.30,20.30,22.39,22.39,22.39
1908,19.49,19.59,20.97,22.10,21.52,19.00,22.13,15.91,17.07,18.22,21.89,19.54,18.67,15.23,21.13,20.56,12.93,20.50,21.67,15.52,22.35,13.07,20.81,21.09,11.31,15.09,21.45,20.35,20.35,22.39,22.39,22.39
1909,19.44,19.47,20.76,22.29,21.52,18.89,21.86,15.89,16.90,18.19,21.73,19.54,18.53,15.09,21.18,20.31,12.91,20.25,21.45,15.32,22.09,12.95,20.80,21.06,11.27,14.94,21.26,20.33,20.33,22.39,22.39,22.39
1910,19.41,19.32,20.29,22.14,21.55,18.68,21.27,15.90,16.74,18.30,21.39,19.81,18.78,15.00,21.16,19.75,12.92,19.71,20.98,15.20,21.51,13.06,20.89,21.17,11.26,14.93,20.84,20.35,20.35,22.39,22.39,22.39
