Variable:,pr
,Colombia,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Buenaventura,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,"Norte De Santander",Putumayo,Quindio,Risaralda,"San Andres Y Providencia",Santander,Sucre,Tolima,"Valle Del Cauca",Vaupes,Vichada
1901,2654.44,2973.14,2780.33,1740.79,955.93,2130.71,1667.96,2926.98,2329.87,2792.42,2574.33,2926.98,1794.54,7279.40,1934.52,1789.27,3070.67,1038.18,2727.75,1647.34,1391.24,2676.74,3416.02,1687.56,3895.61,1944.15,2980.21,1881.55,2272.17,1652.51,1768.60,3001.72,3137.81,2503.15
1902,2423.88,2973.14,2400.65,1649.82,955.93,2016.49,1157.64,2634.50,1867.30,2691.54,1973.69,2634.50,1777.12,6826.12,1910.27,1277.83,3070.54,1038.18,2570.92,1494.20,1391.24,1974.34,2674.42,1642.43,3098.49,1669.19,2527.09,1859.29,1815.84,1647.33,1530.06,2759.13,3137.81,2478.49
1903,2564.18,2973.14,2690.91,1731.36,955.93,2100.89,1561.29,2626.04,2173.88,2733.36,2510.65,2626.04,1788.58,7168.28,1929.94,1665.83,3070.66,1038.18,2707.74,1545.92,1391.24,2587.01,2564.58,1676.06,3028.24,1835.70,2852.55,1878.34,2131.98,1651.20,1647.47,2914.71,3137.81,2501.81
1904,2526.97,2973.14,2571.24,1697.00,955.93,2062.23,1442.73,2662.06,2137.09,2733.20,2296.53,2662.06,1783.99,6954.63,1919.30,1594.00,3070.61,1038.18,2666.58,1565.87,1391.24,2388.73,2757.23,1665.89,3141.96,1851.16,2748.44,1870.03,2070.31,1649.08,1709.58,2871.40,3137.81,2491.61
1905,2553.77,2973.14,2701.53,1707.48,955.93,2093.41,1520.95,2643.43,2336.38,2724.74,2337.92,2643.43,1789.18,7198.12,1927.67,1697.80,3070.62,1038.18,2667.76,1638.41,1391.24,2436.69,2499.93,1677.21,2982.08,2029.49,3007.47,1875.79,2181.02,1650.39,1878.30,3025.40,3137.81,2494.41
1906,2550.28,2973.14,2621.04,1723.88,955.93,2079.29,1536.79,2611.05,2128.76,2741.43,2461.21,2611.05,1785.76,7005.62,1924.35,1669.08,3070.64,1038.18,2704.15,1555.97,1391.24,2559.65,2555.19,1672.09,3116.67,1828.35,2757.33,1866.17,2099.48,1650.13,1671.07,2871.47,3137.81,2498.94
1907,2703.99,2973.14,2892.34,1759.76,955.93,2134.25,1860.67,2758.37,2701.76,2807.31,2724.35,2758.37,1794.51,7425.84,1937.08,2103.66,3070.73,1038.18,2812.49,1774.80,1391.24,2988.06,2844.08,1700.73,3262.22,2307.15,3369.35,1854.18,2472.75,1651.88,2121.35,3189.47,3137.81,2511.47
1908,2658.93,2973.14,2824.95,1728.12,955.93,2126.47,1672.82,2905.22,2560.34,2780.22,2487.60,2905.22,1794.74,7386.14,1934.23,1881.90,3070.67,1038.18,2720.65,1748.66,1391.24,2647.19,3226.07,1691.35,3550.18,2202.39,3257.14,1871.69,2351.44,1651.69,2028.25,3155.76,3137.81,2500.95
1909,2666.81,2973.14,2808.20,1767.50,955.93,2127.05,1770.27,2768.89,2365.47,2786.81,2751.45,2768.89,1792.31,7305.84,1936.79,1911.20,3070.72,1038.18,2791.81,1628.22,1391.24,2899.28,3042.74,1691.61,3404.11,1977.46,3044.91,1880.60,2292.66,1652.42,1779.05,3015.71,3137.81,2511.49
1910,2790.27,2973.14,3124.44,1780.88,955.93,2181.53,2073.08,2769.63,3187.49,2829.76,2853.24,2769.63,1802.24,7740.93,1948.03,2407.01,3070.77,1038.18,2844.45,1947.38,1391.24,3166.49,2681.55,1723.62,3171.58,2755.13,3927.43,1864.69,2763.24,1653.16,2549.32,3492.09,3137.81,2518.52
1911,2512.72,2973.14,2460.47,1686.11,1099.11,2175.92,1306.85,2618.23,1950.97,2714.18,2175.83,2618.23,2367.90,6846.28,1915.86,1445.17,3070.59,1583.73,2635.80,1520.41,1785.66,2237.51,2579.34,1992.23,3055.82,1727.01,2597.12,1862.55,1915.50,1697.50,1584.41,2784.58,3137.81,2486.78
1912,2639.36,2973.14,2790.32,1740.00,1051.37,2214.50,1659.23,2707.41,2375.79,2754.43,2556.25,2707.41,2127.86,7342.50,1935.70,1795.52,3070.68,1375.26,2733.93,1632.72,1635.35,2684.08,2702.85,1835.06,3175.37,1999.17,3072.50,1862.73,2268.81,1685.51,1805.80,3034.42,3137.81,2503.11
1913,2687.62,2973.14,2852.92,1746.36,1020.42,2184.55,1752.03,2928.23,2574.76,2780.67,2598.00,2928.23,1958.10,7311.40,1935.01,1951.22,3070.68,1202.05,2741.18,1712.75,1528.44,2761.32,3301.97,1714.40,3488.39,2156.48,3164.50,1871.16,2430.08,1671.52,2011.02,3111.44,3137.81,2504.90
1914,2432.01,2973.14,2439.64,1665.06,1005.41,2083.79,1212.99,2551.36,1874.91,2673.66,2035.10,2551.36,1935.72,6827.64,1914.57,1318.44,3070.54,1153.43,2574.86,1489.19,1512.05,2044.20,2408.14,1696.35,2877.95,1660.94,2509.35,1852.04,1863.03,1666.45,1537.68,2756.85,3137.81,2480.07
1915,2732.27,2973.14,2911.64,1778.81,1022.89,2209.01,1864.34,2902.25,2548.10,2807.80,2818.20,2902.25,1952.09,7425.84,1942.15,2019.06,3070.73,1070.33,2804.22,1696.09,1539.78,2988.11,3383.04,1710.31,3654.49,2112.81,3226.34,1879.47,2434.54,1678.97,1907.86,3111.17,3137.81,2514.33
1916,2640.34,2973.14,2717.27,1799.83,981.99,2156.37,1645.34,2831.93,2280.88,2781.44,2578.47,2831.93,1883.12,7183.42,1930.39,1783.37,3070.68,1074.53,2740.79,1632.88,1430.31,2706.22,3172.56,1806.41,3537.78,1948.10,2946.59,1886.42,2264.55,1663.08,1763.53,2972.31,3137.81,2507.88
