Variable:,tasmax
,Colombia,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Buenaventura,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,"Norte De Santander",Putumayo,Quindio,Risaralda,"San Andres Y Providencia",Santander,Sucre,Tolima,"Valle Del Cauca",Vaupes,Vichada
1901,29.38,31.17,27.54,30.39,32.50,31.79,21.40,24.24,24.52,30.29,30.85,24.24,30.96,29.58,30.91,23.05,31.16,30.94,30.58,24.29,31.48,29.86,25.59,26.49,29.26,22.86,25.68,30.20,27.42,32.67,24.65,26.30,30.57,31.96
1902,29.27,31.17,27.49,30.02,32.34,31.62,21.23,24.24,24.50,30.29,30.60,24.24,30.68,29.58,30.85,23.00,31.02,30.58,30.57,24.29,31.27,29.80,25.59,26.19,29.26,22.86,25.68,30.20,27.23,32.53,24.65,26.30,30.57,31.66
1903,29.30,31.17,27.50,30.11,32.38,31.66,21.27,24.24,24.50,30.29,30.66,24.24,30.75,29.58,30.86,23.01,31.05,30.66,30.57,24.29,31.31,29.81,25.59,26.26,29.26,22.86,25.68,30.20,27.28,32.57,24.65,26.30,30.57,31.73
1904,29.31,31.18,27.50,30.15,32.38,31.67,21.28,24.24,24.50,30.29,30.68,24.24,30.77,29.58,30.86,23.02,31.07,30.56,30.57,24.29,31.33,29.82,25.59,26.28,29.27,22.86,25.68,30.20,27.29,32.58,24.65,26.30,30.57,31.76
1905,29.24,31.17,27.47,29.90,32.29,31.57,21.17,24.24,24.49,30.29,30.52,24.24,30.59,29.58,30.82,22.98,30.97,30.49,30.56,24.29,31.20,29.78,25.59,26.09,29.26,22.86,25.68,30.19,27.17,32.49,24.65,26.30,30.56,31.56
1906,29.25,31.17,27.47,29.93,32.29,31.58,21.18,24.24,24.49,30.29,30.53,24.24,30.61,29.58,30.83,22.98,30.98,30.45,30.56,24.29,31.21,29.78,25.59,26.12,29.26,22.86,25.68,30.20,27.18,32.50,24.65,26.30,30.56,31.58
1907,29.32,31.17,27.51,30.21,32.42,31.71,21.32,24.24,24.51,30.29,30.73,24.24,30.82,29.58,30.88,23.02,31.09,30.57,30.58,24.29,31.37,29.83,25.59,26.35,29.26,22.86,25.68,30.20,27.33,32.60,24.65,26.30,30.57,31.81
1908,29.23,31.18,27.47,29.87,32.27,31.55,21.16,24.24,24.48,30.29,30.50,24.24,30.56,29.58,30.82,22.97,30.96,30.35,30.56,24.29,31.17,29.78,25.59,26.07,29.27,22.86,25.68,30.20,27.15,32.49,24.65,26.30,30.56,31.54
1909,29.28,31.17,27.49,30.04,32.34,31.63,21.24,24.24,24.50,30.29,30.61,24.24,30.70,29.58,30.85,23.00,31.03,30.47,30.57,24.29,31.27,29.80,25.59,26.21,29.26,22.86,25.68,30.20,27.24,32.54,24.65,26.30,30.56,31.68
1910,29.28,31.17,27.49,30.05,32.34,31.63,21.24,24.24,24.50,30.29,30.61,24.24,30.69,29.58,30.85,23.00,31.04,30.47,30.57,24.29,31.28,29.80,25.59,26.21,29.26,22.86,25.68,30.19,27.24,32.55,24.65,26.30,30.57,31.68
1911,29.31,31.17,27.50,30.16,32.40,31.68,21.30,24.24,24.51,30.29,30.69,24.24,30.78,29.58,30.87,23.02,31.08,30.55,30.57,24.29,31.34,29.82,25.59,26.31,29.26,22.86,25.68,30.20,27.30,32.58,24.65,26.30,30.57,31.77
1912,29.26,31.18,27.48,29.97,32.31,31.59,21.21,24.24,24.49,30.29,30.56,24.24,30.64,29.58,30.84,22.99,31.03,30.49,30.57,24.29,31.24,29.79,25.59,26.15,29.27,22.86,25.68,30.20,27.20,32.52,24.65,26.30,30.57,31.62
1913,29.36,31.18,27.53,30.34,32.47,31.77,21.38,24.24,24.51,30.29,30.81,24.24,30.91,29.58,30.90,23.05,31.15,30.62,30.58,24.29,31.44,29.85,25.59,26.45,29.26,22.86,25.68,30.20,27.39,32.64,24.65,26.30,30.57,31.91
1914,29.28,31.18,27.49,30.04,32.35,31.63,21.24,24.24,24.49,30.29,30.61,24.24,30.69,29.58,30.85,23.00,31.05,30.49,30.57,24.29,31.27,29.80,25.59,26.20,29.26,22.86,25.68,30.20,27.24,32.54,24.65,26.30,30.56,31.67
1915,29.68,31.20,28.05,30.72,32.91,32.24,21.85,24.40,25.04,30.46,31.23,24.40,31.34,29.89,31.42,23.56,31.42,31.18,30.93,24.57,31.88,30.28,25.63,26.87,29.33,23.33,26.17,30.19,27.86,33.14,25.10,26.63,30.77,32.26
1916,29.50,31.18,27.72,30.59,32.66,31.97,21.58,24.30,24.70,30.36,31.04,24.30,31.14,29.70,31.10,23.24,31.28,30.95,30.71,24.40,31.65,30.02,25.60,26.68,29.29,23.03,25.85,30.20,27.61,32.84,24.82,26.43,30.65,32.13
1917,29.30,31.17,27.36,30.42,32.35,31.64,21.27,24.18,24.34,30.24,30.79,24.18,30.85,29.48,30.73,22.87,31.14,30.65,30.48,24.19,31.35,29.72,25.58,26.43,29.25,22.70,25.52,30.20,27.28,32.50,24.50,26.19,30.51,31.99
1918,29.25,31.17,27.28,30.33,32.27,31.55,21.18,24.16,24.27,30.22,30.71,24.16,30.75,29.43,30.65,22.80,31.12,30.61,30.43,24.16,31.25,29.66,25.57,26.33,29.24,22.66,25.47,30.20,27.19,32.41,24.45,26.15,30.49,31.92
1919,29.28,31.17,27.49,30.06,32.35,31.64,21.25,24.24,24.49,30.29,30.62,24.24,30.71,29.58,30.85,23.00,31.04,30.53,30.57,24.29,31.29,29.81,25.59,26.22,29.26,22.86,25.68,30.20,27.25,32.55,24.65,26.30,30.56,31.69
1920,29.28,31.18,27.49,30.05,32.35,31.63,21.24,24.24,24.50,30.29,30.62,24.24,30.70,29.58,30.85,23.00,31.04,30.47,30.57,24.29,31.28,29.81,25.59,26.21,29.27,22.86,25.68,30.20,27.24,32.54,24.65,26.30,30.57,31.68
1921,29.13,31.16,27.13,30.11,32.07,31.35,20.98,24.12,24.12,30.18,30.50,24.12,30.53,29.37,30.49,22.64,30.99,30.40,30.34,24.10,31.04,29.52,25.57,26.10,29.23,22.54,25.34,30.20,26.98,32.22,24.33,26.08,30.43,31.74
1922,29.04,31.16,27.04,29.90,31.95,31.21,20.84,24.11,24.05,30.16,30.33,24.11,30.36,29.33,30.39,22.55,30.86,30.26,30.28,24.06,30.90,29.44,25.57,25.93,29.23,22.48,25.29,30.20,26.84,32.10,24.27,26.03,30.40,31.55
1923,29.14,31.02,27.26,30.23,32.30,31.59,21.17,23.95,24.22,30.02,30.65,23.95,30.79,29.29,30.67,22.77,30.96,30.69,30.30,23.99,31.29,29.57,25.34,26.34,29.01,22.55,25.37,30.20,27.21,32.44,24.35,26.00,30.34,31.77
1924,29.29,31.14,27.46,30.29,32.39,31.72,21.32,24.16,24.42,30.21,30.75,24.16,30.86,29.50,30.83,22.97,31.05,30.80,30.50,24.20,31.38,29.76,25.51,26.42,29.19,22.77,25.59,30.20,27.36,32.58,24.56,26.22,30.50,31.83
1925,29.08,30.99,27.19,30.15,32.20,31.50,21.09,23.89,24.14,29.96,30.56,23.89,30.67,29.23,30.59,22.68,30.94,30.55,30.24,23.92,31.18,29.49,25.28,26.24,28.95,22.49,25.31,30.20,27.12,32.36,24.27,25.93,30.30,31.72
1926,29.61,31.31,27.79,30.69,32.72,32.07,21.69,24.49,24.78,30.53,31.13,24.49,31.24,29.82,31.15,23.32,31.32,31.11,30.82,24.54,31.74,30.11,25.81,26.81,29.50,23.12,25.94,30.20,27.72,32.91,24.91,26.56,30.75,32.20
1927,29.15,31.11,27.26,30.13,32.20,31.53,21.13,24.06,24.23,30.12,30.58,24.06,30.69,29.35,30.64,22.76,30.92,30.58,30.34,24.07,31.19,29.58,25.49,26.25,29.15,22.60,25.42,30.20,27.17,32.39,24.38,26.06,30.40,31.69
1928,29.29,31.14,27.44,30.33,32.41,31.73,21.33,24.16,24.42,30.22,30.77,24.16,30.89,29.49,30.82,22.95,31.05,30.76,30.48,24.19,31.40,29.75,25.52,26.45,29.20,22.76,25.58,30.20,27.36,32.59,24.55,26.20,30.49,31.86
1929,29.31,31.16,27.48,30.29,32.41,31.73,21.35,24.22,24.46,30.27,30.76,24.22,30.87,29.54,30.86,23.00,31.03,30.65,30.53,24.26,31.39,29.79,25.59,26.45,29.26,22.82,25.63,30.20,27.37,32.60,24.60,26.27,30.53,31.81
1930,29.54,31.21,27.78,30.47,32.51,31.86,21.62,24.60,24.87,30.53,30.97,24.60,31.00,29.92,31.03,23.37,31.17,30.87,30.75,24.65,31.50,30.11,25.91,26.57,29.55,23.24,26.05,30.20,27.61,32.71,25.02,26.67,30.60,32.01
1931,29.60,31.49,27.70,30.59,32.65,31.96,21.52,24.38,24.67,30.41,31.01,24.38,31.14,29.76,31.10,23.15,31.71,31.06,30.78,24.41,31.65,29.98,25.71,26.70,29.38,23.03,25.84,30.22,27.57,32.85,24.80,26.47,31.07,32.25
1932,29.19,31.12,27.15,30.62,32.63,31.82,21.17,23.61,23.95,29.83,30.82,23.61,31.16,29.02,30.74,22.53,31.41,31.18,30.29,23.64,31.66,29.40,25.03,26.68,28.74,22.24,25.06,30.22,27.28,32.69,24.02,25.67,30.63,32.17
1933,29.32,31.01,27.58,30.50,32.77,31.99,21.42,23.95,24.47,29.98,30.87,23.95,31.22,29.44,31.05,22.96,31.23,31.12,30.39,24.01,31.75,29.67,25.28,26.72,28.94,22.76,25.61,30.20,27.51,32.87,24.51,26.14,30.52,32.01
1934,29.52,30.78,28.05,30.68,32.92,32.23,21.85,24.46,25.08,30.22,31.12,24.46,31.40,29.96,31.31,23.53,31.02,31.29,30.48,24.54,31.91,30.05,25.70,26.93,29.28,23.38,26.21,30.23,27.91,33.04,25.11,26.71,30.24,32.04
1935,29.46,30.82,27.93,30.54,32.75,32.08,21.72,24.50,24.97,30.28,31.02,24.50,31.22,29.94,31.21,23.42,30.90,31.02,30.49,24.54,31.73,30.00,25.80,26.78,29.37,23.31,26.13,30.20,27.78,32.93,25.03,26.69,30.22,31.94
1936,29.92,31.14,28.48,30.83,33.01,32.43,22.25,25.21,25.64,30.81,31.40,25.21,31.51,30.62,31.61,24.07,31.27,31.27,30.97,25.25,31.99,30.57,26.42,27.09,29.96,24.00,26.82,30.27,28.26,33.24,25.73,27.39,30.63,32.20
1937,29.70,31.19,28.07,30.67,32.77,32.15,21.88,24.70,25.13,30.56,31.18,24.70,31.27,30.10,31.32,23.62,31.36,31.11,30.83,24.78,31.77,30.26,25.96,26.83,29.59,23.47,26.30,30.23,27.90,33.00,25.23,26.86,30.70,32.18
