Variable:,tasmin
,Colombia,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Buenaventura,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,"Norte De Santander",Putumayo,Quindio,Risaralda,"San Andres Y Providencia",Santander,Sucre,Tolima,"Valle Del Cauca",Vaupes,Vichada
1901,19.66,21.32,18.18,20.46,23.18,21.86,11.43,14.33,14.52,20.09,21.25,14.33,19.91,22.39,21.96,13.05,21.80,21.66,20.82,14.53,20.43,20.16,16.56,15.77,18.76,12.53,15.50,24.18,17.37,22.61,14.83,16.54,21.13,22.66
1902,19.56,21.32,18.14,20.09,23.03,21.68,11.26,14.33,14.50,20.09,21.00,14.33,19.63,22.39,21.89,13.00,21.65,21.30,20.81,14.53,20.22,20.11,16.56,15.47,18.76,12.53,15.50,24.18,17.17,22.48,14.82,16.54,21.13,22.36
1903,19.58,21.32,18.15,20.19,23.06,21.72,11.30,14.33,14.50,20.09,21.06,14.33,19.70,22.39,21.91,13.01,21.69,21.38,20.81,14.53,20.26,20.12,16.56,15.54,18.76,12.53,15.50,24.18,17.22,22.52,14.82,16.54,21.13,22.43
1904,19.58,21.32,18.15,20.21,23.07,21.73,11.31,14.33,14.50,20.09,21.07,14.33,19.71,22.39,21.91,13.01,21.70,21.28,20.81,14.53,20.27,20.12,16.56,15.56,18.76,12.53,15.50,24.18,17.24,22.52,14.82,16.54,21.13,22.45
1905,19.52,21.32,18.12,19.98,22.97,21.63,11.21,14.33,14.49,20.09,20.92,14.33,19.54,22.39,21.87,12.97,21.61,21.22,20.80,14.53,20.14,20.09,16.56,15.37,18.76,12.53,15.50,24.17,17.12,22.44,14.82,16.54,21.12,22.26
1906,19.53,21.32,18.12,20.00,22.98,21.64,11.21,14.33,14.49,20.09,20.93,14.33,19.56,22.39,21.87,12.98,21.62,21.17,20.80,14.53,20.16,20.09,16.56,15.39,18.76,12.53,15.50,24.18,17.13,22.45,14.82,16.54,21.12,22.28
1907,19.60,21.32,18.16,20.29,23.11,21.77,11.34,14.33,14.50,20.09,21.13,14.33,19.77,22.39,21.92,13.02,21.73,21.30,20.81,14.53,20.32,20.14,16.56,15.63,18.76,12.53,15.50,24.18,17.28,22.55,14.82,16.54,21.13,22.51
1908,19.51,21.32,18.11,19.93,22.95,21.61,11.19,14.33,14.48,20.09,20.89,14.33,19.51,22.39,21.86,12.97,21.59,21.07,20.80,14.53,20.11,20.08,16.56,15.34,18.76,12.53,15.50,24.18,17.09,22.43,14.82,16.54,21.12,22.23
1909,19.56,21.32,18.14,20.11,23.02,21.69,11.27,14.33,14.50,20.09,21.01,14.33,19.65,22.39,21.89,13.00,21.66,21.19,20.81,14.53,20.22,20.11,16.56,15.49,18.76,12.53,15.50,24.18,17.19,22.49,14.82,16.54,21.13,22.38
1910,19.56,21.32,18.14,20.12,23.03,21.69,11.27,14.33,14.50,20.09,21.01,14.33,19.64,22.39,21.89,13.00,21.68,21.20,20.81,14.53,20.22,20.11,16.56,15.49,18.76,12.53,15.50,24.17,17.19,22.49,14.82,16.54,21.13,22.38
1911,19.59,21.32,18.15,20.23,23.09,21.75,11.32,14.33,14.50,20.09,21.09,14.33,19.73,22.39,21.91,13.01,21.72,21.27,20.81,14.53,20.29,20.13,16.56,15.58,18.76,12.53,15.50,24.18,17.25,22.53,14.82,16.54,21.13,22.47
1912,19.54,21.33,18.13,20.04,23.00,21.65,11.23,14.33,14.49,20.09,20.96,14.33,19.59,22.39,21.88,12.98,21.66,21.21,20.80,14.53,20.18,20.10,16.56,15.42,18.76,12.53,15.50,24.18,17.15,22.46,14.82,16.54,21.13,22.32
1913,19.64,21.32,18.18,20.41,23.16,21.83,11.41,14.33,14.51,20.09,21.21,14.33,19.86,22.39,21.95,13.04,21.79,21.35,20.82,14.53,20.39,20.16,16.56,15.73,18.76,12.53,15.50,24.18,17.34,22.59,14.83,16.54,21.13,22.61
1914,19.56,21.33,18.14,20.11,23.03,21.69,11.27,14.33,14.49,20.09,21.01,14.33,19.64,22.39,21.89,13.00,21.68,21.22,20.80,14.53,20.22,20.11,16.56,15.48,18.76,12.53,15.50,24.18,17.18,22.49,14.82,16.54,21.13,22.37
1915,19.96,21.35,18.70,20.79,23.60,22.30,11.88,14.49,15.03,20.26,21.63,14.49,20.29,22.71,22.47,13.55,22.05,21.90,21.17,14.81,20.83,20.59,16.60,16.14,18.82,12.99,15.99,24.17,17.81,23.08,15.28,16.87,21.33,22.96
